file,n_samples_total,dw_stat,bg_lm,bg_pval,y,mean,std,min,max,skew,kurtosis,acf_lag1,acf_lag5,acf_lag10,acf_lag20,Q_BP,p_BP,Q_LB,p_LB,h_wn,df_wn,T_label,RH_label,run,kind,T_c,RH_c,resid_ols
CenterPoints_Run_1.csv,6007,0.6533159967069958,5217.571828937228,0.0,1.0243217912435492,1.0243217912435492,0.04082053153125432,0.887,1.144,-0.1355710232562321,-0.42293329643984645,0.6733212438207659,0.5644575053068914,0.2318906994240613,0.5809254512931122,116555.21273458975,0.0,117375.21183204309,0.0,77,77,center,center,1,center,0,0,
CenterPoints_Run_2.csv,6033,0.7000267010876348,5324.180578807696,0.0,1.0159007127465607,1.0159007127465607,0.04141749035971236,0.899,1.141,-0.04850634216910434,-0.4312518070876883,0.6498819581171864,0.5541108212659137,0.298927426622548,0.6675097444685888,120819.05739852911,0.0,121620.096584307,0.0,77,77,center,center,2,center,0,0,
CenterPoints_Run_3.csv,6031,0.642181809393534,5381.360386459967,0.0,1.0140446028850936,1.0140446028850936,0.042657060052395765,0.89,1.154,0.008153127984166713,-0.346486207235436,0.6787907470925281,0.575633468654791,0.3171282366340793,0.6429145015717662,135752.48964574013,0.0,136702.52139399206,0.0,77,77,center,center,3,center,0,0,
CenterPoints_Run_4.csv,5995,0.6837010678637774,5254.145239841973,0.0,1.0164086738949125,1.0164086738949125,0.041223107338503484,0.9,1.154,-0.006858569984200335,-0.42047053822937075,0.6579311950766632,0.5483221273907831,0.27185302318391374,0.6222837271478225,112762.95590137146,0.0,113528.10297496275,0.0,77,77,center,center,4,center,0,0,
TempAlta_UmAlta_Run_1.csv,5969,0.6199179655123042,5381.0554910900455,0.0,1.0304989110403753,1.0304989110403753,0.04123804089154317,0.871,1.136,-0.18052583045584195,-0.25181771545484866,0.6894847923608994,0.5725659126553813,0.09619662261727446,0.24396744950266894,74510.76602326003,0.0,75001.4510357437,0.0,77,77,high,high,1,corner,1,1,0.0076695088179894455
TempAlta_UmAlta_Run_2.csv,6004,0.5271455879653634,5502.793269380663,0.0,1.015159893404397,1.015159893404397,0.045498249306195046,0.891,1.151,0.03294677592118766,-0.49222955251560396,0.736136357194384,0.6191733268283773,0.18453783875262333,0.3109973701154677,88644.10320245234,0.0,89223.57964473187,0.0,77,77,high,high,2,corner,1,1,-0.007669508817988779
TempAlta_UmBassa_Run_1.csv,5959,0.2970042031416915,5595.425768276639,0.0,1.0141542205067964,1.0141542205067964,0.05857671288481778,0.845,1.17,0.02465220526928947,-0.5780314578180001,0.8511252932164899,0.7269490111185611,0.4002935371765342,0.5569768918670728,146370.5285336711,0.0,147297.24554032783,0.0,77,77,high,low,1,corner,1,-1,0.0024964409227290485
TempAlta_UmBassa_Run_2.csv,6006,0.28088749452892997,5651.918996001042,0.0,1.0091613386613385,1.0091613386613385,0.0591865924379425,0.858,1.172,0.11401735685184337,-0.5627484677162098,0.859257203532661,0.7458870712164826,0.43803684585720865,0.5719655436701195,175218.94886432687,0.0,176395.35474306368,0.0,77,77,high,low,2,corner,1,-1,-0.0024964409227288265
TempBassa_UmAlta_Run_1.csv,6023,0.7269578057740529,4731.370979216976,0.0,1.0131927610825169,1.0131927610825169,0.03727176759338959,0.897,1.129,-0.04309206072618341,-0.36985636065287286,0.6362814762617428,0.5664528090062085,0.2076248083102793,0.48529095324536314,52105.64106688567,0.0,52338.379109712056,0.0,77,77,low,high,1,corner,-1,1,0.00012209674162710904
TempBassa_UmAlta_Run_2.csv,5969,0.7620428931167108,4626.410451071265,0.0,1.0129485675992629,1.0129485675992629,0.037010874890401516,0.883,1.123,-0.053410440207510616,-0.2662824916047488,0.6187915692615689,0.5548138024577314,0.18702900560044708,0.49233710635768146,49010.21817882694,0.0,49226.0052539695,0.0,77,77,low,high,2,corner,-1,1,-0.000122096741626887
TempBassa_UmBassa_Run_1.csv,6021,0.8170450482632756,4767.622524670503,0.0,1.0145648563361567,1.0145648563361567,0.03514594792394473,0.901,1.139,-0.02514151108074206,-0.23128106088771672,0.5911089315082408,0.4927571870594867,0.09081750151989,0.4553220089148251,46115.74520084807,0.0,46341.17274149947,0.0,77,77,low,low,1,corner,-1,-1,9.507473424297253e-05
TempBassa_UmBassa_Run_2.csv,5970,0.8477700380719819,4623.758072732093,0.0,1.0143747068676716,1.0143747068676716,0.03448488315120989,0.903,1.127,-0.00921568961699935,-0.2380931937991706,0.5760564706295757,0.4618418007202187,0.055858886066617694,0.40736413247482717,40668.613162150024,0.0,40872.00101568566,0.0,77,77,low,low,2,corner,-1,-1,-9.507473424208435e-05
